cohort_month,cohort_month_name,cohort_index,active_customers,total_customers,retention_rate
2020-02,"Feb 2020",17,5,228,2.19%
2020-02,"Feb 2020",18,6,228,2.63%
2020-02,"Feb 2020",19,4,228,1.75%
2020-02,"Feb 2020",20,8,228,3.51%
2020-02,"Feb 2020",21,4,228,1.75%
2020-02,"Feb 2020",22,5,228,2.19%
2020-02,"Feb 2020",23,5,228,2.19%
2020-02,"Feb 2020",24,4,228,1.75%
2020-02,"Feb 2020",25,4,228,1.75%
2020-02,"Feb 2020",26,6,228,2.63%
2020-02,"Feb 2020",27,7,228,3.07%
2020-02,"Feb 2020",28,8,228,3.51%
2020-02,"Feb 2020",29,9,228,3.95%
2020-02,"Feb 2020",30,9,228,3.95%
2020-02,"Feb 2020",31,5,228,2.19%
2020-02,"Feb 2020",32,8,228,3.51%
2020-02,"Feb 2020",33,4,228,1.75%
2020-02,"Feb 2020",34,7,228,3.07%
2020-02,"Feb 2020",35,6,228,2.63%
2020-02,"Feb 2020",36,5,228,2.19%
2020-02,"Feb 2020",37,3,228,1.32%
2020-02,"Feb 2020",38,8,228,3.51%
2020-02,"Feb 2020",39,5,228,2.19%
2020-02,"Feb 2020",40,2,228,0.88%
2020-02,"Feb 2020",41,10,228,4.39%
2020-02,"Feb 2020",42,5,228,2.19%
2020-02,"Feb 2020",43,4,228,1.75%
2020-02,"Feb 2020",44,7,228,3.07%
2020-02,"Feb 2020",45,6,228,2.63%
2020-02,"Feb 2020",46,5,228,2.19%
2020-02,"Feb 2020",47,3,228,1.32%
2020-02,"Feb 2020",48,4,228,1.75%
2020-02,"Feb 2020",49,6,228,2.63%
2020-02,"Feb 2020",50,6,228,2.63%
2020-02,"Feb 2020",51,7,228,3.07%
2020-02,"Feb 2020",52,5,228,2.19%
2020-02,"Feb 2020",53,2,228,0.88%
2020-02,"Feb 2020",54,6,228,2.63%
2020-02,"Feb 2020",55,7,228,3.07%
2020-02,"Feb 2020",56,10,228,4.39%
2020-02,"Feb 2020",57,6,228,2.63%
2020-02,"Feb 2020",58,6,228,2.63%
2020-02,"Feb 2020",59,3,228,1.32%
2020-02,"Feb 2020",60,7,228,3.07%
2020-02,"Feb 2020",61,8,228,3.51%
2020-02,"Feb 2020",62,6,228,2.63%
2020-03,"Mar 2020",0,207,207,100.00%
2020-03,"Mar 2020",1,4,207,1.93%
2020-03,"Mar 2020",2,5,207,2.42%
2020-03,"Mar 2020",3,8,207,3.86%
2020-03,"Mar 2020",4,3,207,1.45%
2020-03,"Mar 2020",5,3,207,1.45%
2020-03,"Mar 2020",6,8,207,3.86%
2020-03,"Mar 2020",7,7,207,3.38%
2020-03,"Mar 2020",8,6,207,2.90%
2020-03,"Mar 2020",9,6,207,2.90%
2020-03,"Mar 2020",10,4,207,1.93%
2020-03,"Mar 2020",11,6,207,2.90%
2020-03,"Mar 2020",12,5,207,2.42%
2020-03,"Mar 2020",13,4,207,1.93%
2020-03,"Mar 2020",14,7,207,3.38%
2020-03,"Mar 2020",15,6,207,2.90%
2020-03,"Mar 2020",16,7,207,3.38%
2020-03,"Mar 2020",17,7,207,3.38%
2020-03,"Mar 2020",18,7,207,3.38%
2020-03,"Mar 2020",19,3,207,1.45%
2020-03,"Mar 2020",20,7,207,3.38%
2020-03,"Mar 2020",21,9,207,4.35%
2020-03,"Mar 2020",22,2,207,0.97%
2020-03,"Mar 2020",23,2,207,0.97%
2020-03,"Mar 2020",24,4,207,1.93%
2020-03,"Mar 2020",25,3,207,1.45%
2020-03,"Mar 2020",26,3,207,1.45%
2020-03,"Mar 2020",27,4,207,1.93%
2020-03,"Mar 2020",28,8,207,3.86%
2020-03,"Mar 2020",29,5,207,2.42%
2020-03,"Mar 2020",30,3,207,1.45%
2020-03,"Mar 2020",31,4,207,1.93%
2020-03,"Mar 2020",32,3,207,1.45%
2020-03,"Mar 2020",33,7,207,3.38%
2020-03,"Mar 2020",34,10,207,4.83%
2020-03,"Mar 2020",35,3,207,1.45%
2020-03,"Mar 2020",36,10,207,4.83%
2020-03,"Mar 2020",37,5,207,2.42%
2020-03,"Mar 2020",38,4,207,1.93%
2020-03,"Mar 2020",39,9,207,4.35%
2020-03,"Mar 2020",40,5,207,2.42%
2020-03,"Mar 2020",41,4,207,1.93%
2020-03,"Mar 2020",42,6,207,2.90%
2020-03,"Mar 2020",43,6,207,2.90%
2020-03,"Mar 2020",44,1,207,0.48%
2020-03,"Mar 2020",45,5,207,2.42%
2020-03,"Mar 2020",46,5,207,2.42%
2020-03,"Mar 2020",47,3,207,1.45%
2020-03,"Mar 2020",48,9,207,4.35%
2020-03,"Mar 2020",49,7,207,3.38%
2020-03,"Mar 2020",50,1,207,0.48%
2020-03,"Mar 2020",51,1,207,0.48%
2020-03,"Mar 2020",52,5,207,2.42%
2020-03,"Mar 2020",53,6,207,2.90%
2020-03,"Mar 2020",54,4,207,1.93%
2020-03,"Mar 2020",55,5,207,2.42%
2020-03,"Mar 2020",56,7,207,3.38%
2020-03,"Mar 2020",57,3,207,1.45%
2020-03,"Mar 2020",58,6,207,2.90%
2020-03,"Mar 2020",59,7,207,3.38%
2020-03,"Mar 2020",61,6,207,2.90%
2020-04,"Apr 2020",0,200,200,100.00%
2020-04,"Apr 2020",1,3,200,1.50%
2020-04,"Apr 2020",2,12,200,6.00%
2020-04,"Apr 2020",3,5,200,2.50%
2020-04,"Apr 2020",4,6,200,3.00%
2020-04,"Apr 2020",5,2,200,1.00%
2020-04,"Apr 2020",6,5,200,2.50%
2020-04,"Apr 2020",7,8,200,4.00%
2020-04,"Apr 2020",8,6,200,3.00%
2020-04,"Apr 2020",9,8,200,4.00%
2020-04,"Apr 2020",10,3,200,1.50%
2020-04,"Apr 2020",11,5,200,2.50%
2020-04,"Apr 2020",12,5,200,2.50%
2020-04,"Apr 2020",13,7,200,3.50%
2020-04,"Apr 2020",14,8,200,4.00%
2020-04,"Apr 2020",15,4,200,2.00%
2020-04,"Apr 2020",16,3,200,1.50%
2020-04,"Apr 2020",17,3,200,1.50%
2020-04,"Apr 2020",18,5,200,2.50%
2020-04,"Apr 2020",19,8,200,4.00%
2020-04,"Apr 2020",20,5,200,2.50%
2020-04,"Apr 2020",21,6,200,3.00%
2020-04,"Apr 2020",22,6,200,3.00%
2020-04,"Apr 2020",23,4,200,2.00%
2020-04,"Apr 2020",24,4,200,2.00%
2020-04,"Apr 2020",25,5,200,2.50%
2020-04,"Apr 2020",26,5,200,2.50%
2020-04,"Apr 2020",27,4,200,2.00%
2020-04,"Apr 2020",28,4,200,2.00%
2020-04,"Apr 2020",29,1,200,0.50%
2020-04,"Apr 2020",30,5,200,2.50%
2020-04,"Apr 2020",31,5,200,2.50%
2020-04,"Apr 2020",32,3,200,1.50%
2020-04,"Apr 2020",33,1,200,0.50%
2020-04,"Apr 2020",34,4,200,2.00%
2020-04,"Apr 2020",35,4,200,2.00%
2020-04,"Apr 2020",36,3,200,1.50%
2020-04,"Apr 2020",37,1,200,0.50%
2020-04,"Apr 2020",38,6,200,3.00%
2020-04,"Apr 2020",39,3,200,1.50%
2020-04,"Apr 2020",40,3,200,1.50%
2020-04,"Apr 2020",41,8,200,4.00%
2020-04,"Apr 2020",42,5,200,2.50%
2020-04,"Apr 2020",43,8,200,4.00%
2020-04,"Apr 2020",44,9,200,4.50%
2020-04,"Apr 2020",45,8,200,4.00%
2020-04,"Apr 2020",46,4,200,2.00%
2020-04,"Apr 2020",47,7,200,3.50%
2020-04,"Apr 2020",48,6,200,3.00%
2020-04,"Apr 2020",49,5,200,2.50%
2020-04,"Apr 2020",50,6,200,3.00%
2020-04,"Apr 2020",51,3,200,1.50%
2020-04,"Apr 2020",52,3,200,1.50%
2020-04,"Apr 2020",53,7,200,3.50%
2020-04,"Apr 2020",54,3,200,1.50%
2020-04,"Apr 2020",55,8,200,4.00%
2020-04,"Apr 2020",56,4,200,2.00%
2020-04,"Apr 2020",57,6,200,3.00%
2020-04,"Apr 2020",59,8,200,4.00%
2020-04,"Apr 2020",60,1,200,0.50%
2020-05,"May 2020",0,209,209,100.00%
2020-05,"May 2020",1,6,209,2.87%
2020-05,"May 2020",2,9,209,4.31%
2020-05,"May 2020",3,1,209,0.48%
2020-05,"May 2020",4,9,209,4.31%
2020-05,"May 2020",5,8,209,3.83%
2020-05,"May 2020",6,4,209,1.91%
2020-05,"May 2020",7,8,209,3.83%
2020-05,"May 2020",8,8,209,3.83%
2020-05,"May 2020",9,2,209,0.96%
2020-05,"May 2020",10,5,209,2.39%
2020-05,"May 2020",11,6,209,2.87%
2020-05,"May 2020",12,5,209,2.39%
2020-05,"May 2020",13,4,209,1.91%
2020-05,"May 2020",14,5,209,2.39%
2020-05,"May 2020",15,8,209,3.83%
2020-05,"May 2020",16,5,209,2.39%
2020-05,"May 2020",17,4,209,1.91%
2020-05,"May 2020",18,5,209,2.39%
2020-05,"May 2020",19,4,209,1.91%
2020-05,"May 2020",20,4,209,1.91%
2020-05,"May 2020",21,4,209,1.91%
2020-05,"May 2020",22,8,209,3.83%
2020-05,"May 2020",23,2,209,0.96%
2020-05,"May 2020",24,3,209,1.44%
2020-05,"May 2020",25,7,209,3.35%
2020-05,"May 2020",26,8,209,3.83%
2020-05,"May 2020",27,7,209,3.35%
2020-05,"May 2020",28,4,209,1.91%
2020-05,"May 2020",29,6,209,2.87%
2020-05,"May 2020",30,4,209,1.91%
2020-05,"May 2020",31,7,209,3.35%
2020-05,"May 2020",32,7,209,3.35%
2020-05,"May 2020",33,5,209,2.39%
2020-05,"May 2020",34,9,209,4.31%
2020-05,"May 2020",35,4,209,1.91%
2020-05,"May 2020",36,6,209,2.87%
2020-05,"May 2020",37,10,209,4.78%
2020-05,"May 2020",38,7,209,3.35%
2020-05,"May 2020",39,2,209,0.96%
2020-05,"May 2020",40,4,209,1.91%
2020-05,"May 2020",41,4,209,1.91%
2020-05,"May 2020",42,2,209,0.96%
2020-05,"May 2020",43,6,209,2.87%
2020-05,"May 2020",44,2,209,0.96%
2020-05,"May 2020",45,9,209,4.31%
2020-05,"May 2020",46,2,209,0.96%
2020-05,"May 2020",47,3,209,1.44%
2020-05,"May 2020",48,9,209,4.31%
2020-05,"May 2020",49,8,209,3.83%
2020-05,"May 2020",50,6,209,2.87%
2020-05,"May 2020",51,4,209,1.91%
2020-05,"May 2020",52,2,209,0.96%
2020-05,"May 2020",53,5,209,2.39%
2020-05,"May 2020",54,6,209,2.87%
2020-05,"May 2020",55,5,209,2.39%
2020-05,"May 2020",56,7,209,3.35%
2020-05,"May 2020",57,2,209,0.96%
2020-05,"May 2020",58,8,209,3.83%
2020-05,"May 2020",59,3,209,1.44%
2020-06,"Jun 2020",0,208,208,100.00%
2020-06,"Jun 2020",1,8,208,3.85%
2020-06,"Jun 2020",2,7,208,3.37%
2020-06,"Jun 2020",3,6,208,2.88%
2020-06,"Jun 2020",4,4,208,1.92%
2020-06,"Jun 2020",5,5,208,2.40%
2020-06,"Jun 2020",6,8,208,3.85%
2020-06,"Jun 2020",7,6,208,2.88%
2020-06,"Jun 2020",8,5,208,2.40%
2020-06,"Jun 2020",9,6,208,2.88%
2020-06,"Jun 2020",10,8,208,3.85%
2020-06,"Jun 2020",11,3,208,1.44%
2020-06,"Jun 2020",13,8,208,3.85%
2020-06,"Jun 2020",14,7,208,3.37%
2020-06,"Jun 2020",15,5,208,2.40%
2020-06,"Jun 2020",16,5,208,2.40%
2020-06,"Jun 2020",17,4,208,1.92%
2020-06,"Jun 2020",18,5,208,2.40%
2020-06,"Jun 2020",19,4,208,1.92%
2020-06,"Jun 2020",20,4,208,1.92%
2020-06,"Jun 2020",21,1,208,0.48%
2020-06,"Jun 2020",22,5,208,2.40%
2020-06,"Jun 2020",23,4,208,1.92%
2020-06,"Jun 2020",24,7,208,3.37%
2020-06,"Jun 2020",25,3,208,1.44%
2020-06,"Jun 2020",26,6,208,2.88%
2020-06,"Jun 2020",27,5,208,2.40%
2020-06,"Jun 2020",28,8,208,3.85%
2020-06,"Jun 2020",29,3,208,1.44%
2020-06,"Jun 2020",30,9,208,4.33%
2020-06,"Jun 2020",31,4,208,1.92%
2020-06,"Jun 2020",32,5,208,2.40%
2020-06,"Jun 2020",33,12,208,5.77%
2020-06,"Jun 2020",34,9,208,4.33%
2020-06,"Jun 2020",35,6,208,2.88%
2020-06,"Jun 2020",36,3,208,1.44%
2020-06,"Jun 2020",37,1,208,0.48%
2020-06,"Jun 2020",38,7,208,3.37%
2020-06,"Jun 2020",39,4,208,1.92%
2020-06,"Jun 2020",40,7,208,3.37%
2020-06,"Jun 2020",41,4,208,1.92%
2020-06,"Jun 2020",42,3,208,1.44%
2020-06,"Jun 2020",43,8,208,3.85%
2020-06,"Jun 2020",44,7,208,3.37%
2020-06,"Jun 2020",45,7,208,3.37%
2020-06,"Jun 2020",46,5,208,2.40%
2020-06,"Jun 2020",47,9,208,4.33%
2020-06,"Jun 2020",48,7,208,3.37%
2020-06,"Jun 2020",49,4,208,1.92%
2020-06,"Jun 2020",50,3,208,1.44%
2020-06,"Jun 2020",51,5,208,2.40%
2020-06,"Jun 2020",52,9,208,4.33%
2020-06,"Jun 2020",53,5,208,2.40%
2020-06,"Jun 2020",54,4,208,1.92%
2020-06,"Jun 2020",55,3,208,1.44%
2020-06,"Jun 2020",56,8,208,3.85%
2020-06,"Jun 2020",57,6,208,2.88%
2020-06,"Jun 2020",58,2,208,0.96%
2020-07,"Jul 2020",0,206,206,100.00%
2020-07,"Jul 2020",1,9,206,4.37%
2020-07,"Jul 2020",2,2,206,0.97%
2020-07,"Jul 2020",3,3,206,1.46%
2020-07,"Jul 2020",4,2,206,0.97%
2020-07,"Jul 2020",5,6,206,2.91%
2020-07,"Jul 2020",6,7,206,3.40%
2020-07,"Jul 2020",7,5,206,2.43%
2020-07,"Jul 2020",8,5,206,2.43%
2020-07,"Jul 2020",9,5,206,2.43%
2020-07,"Jul 2020",10,11,206,5.34%
2020-07,"Jul 2020",11,3,206,1.46%
2020-07,"Jul 2020",12,4,206,1.94%
2020-07,"Jul 2020",13,6,206,2.91%
2020-07,"Jul 2020",14,6,206,2.91%
2020-07,"Jul 2020",15,7,206,3.40%
2020-07,"Jul 2020",16,5,206,2.43%
2020-07,"Jul 2020",17,6,206,2.91%
2020-07,"Jul 2020",18,6,206,2.91%
2020-07,"Jul 2020",19,4,206,1.94%
2020-07,"Jul 2020",20,4,206,1.94%
2020-07,"Jul 2020",21,5,206,2.43%
2020-07,"Jul 2020",22,6,206,2.91%
2020-07,"Jul 2020",23,6,206,2.91%
2020-07,"Jul 2020",24,8,206,3.88%
2020-07,"Jul 2020",25,2,206,0.97%
2020-07,"Jul 2020",26,9,206,4.37%
2020-07,"Jul 2020",27,4,206,1.94%
2020-07,"Jul 2020",28,3,206,1.46%
2020-07,"Jul 2020",29,7,206,3.40%
2020-07,"Jul 2020",30,7,206,3.40%
2020-07,"Jul 2020",31,1,206,0.49%
2020-07,"Jul 2020",32,3,206,1.46%
2020-07,"Jul 2020",33,3,206,1.46%
2020-07,"Jul 2020",34,7,206,3.40%
2020-07,"Jul 2020",35,6,206,2.91%
2020-07,"Jul 2020",36,8,206,3.88%
2020-07,"Jul 2020",37,8,206,3.88%
2020-07,"Jul 2020",38,8,206,3.88%
2020-07,"Jul 2020",39,4,206,1.94%
2020-07,"Jul 2020",40,2,206,0.97%
2020-07,"Jul 2020",41,4,206,1.94%
2020-07,"Jul 2020",42,4,206,1.94%
2020-07,"Jul 2020",43,8,206,3.88%
2020-07,"Jul 2020",44,4,206,1.94%
2020-07,"Jul 2020",45,7,206,3.40%
2020-07,"Jul 2020",46,5,206,2.43%
2020-07,"Jul 2020",47,2,206,0.97%
2020-07,"Jul 2020",48,9,206,4.37%
2020-07,"Jul 2020",49,2,206,0.97%
2020-07,"Jul 2020",50,4,206,1.94%
2020-07,"Jul 2020",51,5,206,2.43%
2020-07,"Jul 2020",52,6,206,2.91%
2020-07,"Jul 2020",53,8,206,3.88%
2020-07,"Jul 2020",54,5,206,2.43%
2020-07,"Jul 2020",55,3,206,1.46%
2020-07,"Jul 2020",56,8,206,3.88%
2020-08,"Aug 2020",0,190,190,100.00%
2020-08,"Aug 2020",1,4,190,2.11%
2020-08,"Aug 2020",2,3,190,1.58%
2020-08,"Aug 2020",3,5,190,2.63%
2020-08,"Aug 2020",4,8,190,4.21%
2020-08,"Aug 2020",5,13,190,6.84%
2020-08,"Aug 2020",6,6,190,3.16%
2020-08,"Aug 2020",7,3,190,1.58%
2020-08,"Aug 2020",8,6,190,3.16%
2020-08,"Aug 2020",9,3,190,1.58%
2020-08,"Aug 2020",10,6,190,3.16%
2020-08,"Aug 2020",11,3,190,1.58%
2020-08,"Aug 2020",12,3,190,1.58%
2020-08,"Aug 2020",13,9,190,4.74%
2020-08,"Aug 2020",14,4,190,2.11%
2020-08,"Aug 2020",15,6,190,3.16%
2020-08,"Aug 2020",16,2,190,1.05%
2020-08,"Aug 2020",17,6,190,3.16%
2020-08,"Aug 2020",18,3,190,1.58%
2020-08,"Aug 2020",19,3,190,1.58%
2020-08,"Aug 2020",20,2,190,1.05%
2020-08,"Aug 2020",21,3,190,1.58%
2020-08,"Aug 2020",22,8,190,4.21%
2020-08,"Aug 2020",23,6,190,3.16%
2020-08,"Aug 2020",24,3,190,1.58%
2020-08,"Aug 2020",25,4,190,2.11%
2020-08,"Aug 2020",26,4,190,2.11%
2020-08,"Aug 2020",27,2,190,1.05%
2020-08,"Aug 2020",28,4,190,2.11%
2020-08,"Aug 2020",29,3,190,1.58%
2020-08,"Aug 2020",30,6,190,3.16%
2020-08,"Aug 2020",31,1,190,0.53%
2020-08,"Aug 2020",32,3,190,1.58%
2020-08,"Aug 2020",33,5,190,2.63%
2020-08,"Aug 2020",34,2,190,1.05%
2020-08,"Aug 2020",35,2,190,1.05%
2020-08,"Aug 2020",36,6,190,3.16%
2020-08,"Aug 2020",37,7,190,3.68%
2020-08,"Aug 2020",38,10,190,5.26%
2020-08,"Aug 2020",39,4,190,2.11%
2020-08,"Aug 2020",40,3,190,1.58%
2020-08,"Aug 2020",41,8,190,4.21%
2020-08,"Aug 2020",42,5,190,2.63%
2020-08,"Aug 2020",43,4,190,2.11%
2020-08,"Aug 2020",44,6,190,3.16%
2020-08,"Aug 2020",45,3,190,1.58%
2020-08,"Aug 2020",46,3,190,1.58%
2020-08,"Aug 2020",47,5,190,2.63%
2020-08,"Aug 2020",48,4,190,2.11%
2020-08,"Aug 2020",49,2,190,1.05%
2020-08,"Aug 2020",50,8,190,4.21%
2020-08,"Aug 2020",51,4,190,2.11%
2020-08,"Aug 2020",52,3,190,1.58%
2020-08,"Aug 2020",53,4,190,2.11%
2020-08,"Aug 2020",54,8,190,4.21%
2020-08,"Aug 2020",55,8,190,4.21%
2020-08,"Aug 2020",56,3,190,1.58%
2020-09,"Sep 2020",0,162,162,100.00%
2020-09,"Sep 2020",1,3,162,1.85%
2020-09,"Sep 2020",2,6,162,3.70%
2020-09,"Sep 2020",3,2,162,1.23%
2020-09,"Sep 2020",4,5,162,3.09%
2020-09,"Sep 2020",5,5,162,3.09%
2020-09,"Sep 2020",6,3,162,1.85%
2020-09,"Sep 2020",7,5,162,3.09%
2020-09,"Sep 2020",8,3,162,1.85%
2020-09,"Sep 2020",9,4,162,2.47%
2020-09,"Sep 2020",10,2,162,1.23%
2020-09,"Sep 2020",11,7,162,4.32%
2020-09,"Sep 2020",12,4,162,2.47%
2020-09,"Sep 2020",13,2,162,1.23%
2020-09,"Sep 2020",14,7,162,4.32%
2020-09,"Sep 2020",15,5,162,3.09%
2020-09,"Sep 2020",16,7,162,4.32%
2020-09,"Sep 2020",17,2,162,1.23%
2020-09,"Sep 2020",18,9,162,5.56%
2020-09,"Sep 2020",19,4,162,2.47%
2020-09,"Sep 2020",20,2,162,1.23%
2020-09,"Sep 2020",21,6,162,3.70%
2020-09,"Sep 2020",22,5,162,3.09%
2020-09,"Sep 2020",23,4,162,2.47%
2020-09,"Sep 2020",24,3,162,1.85%
2020-09,"Sep 2020",25,9,162,5.56%
2020-09,"Sep 2020",26,5,162,3.09%
2020-09,"Sep 2020",27,4,162,2.47%
2020-09,"Sep 2020",28,6,162,3.70%
2020-09,"Sep 2020",29,3,162,1.85%
2020-09,"Sep 2020",30,5,162,3.09%
2020-09,"Sep 2020",31,2,162,1.23%
2020-09,"Sep 2020",32,5,162,3.09%
2020-09,"Sep 2020",33,9,162,5.56%
2020-09,"Sep 2020",34,5,162,3.09%
2020-09,"Sep 2020",35,6,162,3.70%
2020-09,"Sep 2020",36,4,162,2.47%
2020-09,"Sep 2020",37,5,162,3.09%
2020-09,"Sep 2020",38,5,162,3.09%
2020-09,"Sep 2020",39,5,162,3.09%
2020-09,"Sep 2020",40,5,162,3.09%
2020-09,"Sep 2020",41,3,162,1.85%
2020-09,"Sep 2020",42,4,162,2.47%
2020-09,"Sep 2020",43,3,162,1.85%
2020-09,"Sep 2020",44,7,162,4.32%
2020-09,"Sep 2020",45,5,162,3.09%
2020-09,"Sep 2020",46,3,162,1.85%
2020-09,"Sep 2020",47,3,162,1.85%
2020-09,"Sep 2020",48,3,162,1.85%
2020-09,"Sep 2020",49,4,162,2.47%
2020-09,"Sep 2020",50,1,162,0.62%
2020-09,"Sep 2020",51,3,162,1.85%
2020-09,"Sep 2020",52,5,162,3.09%
2020-09,"Sep 2020",53,3,162,1.85%
2020-09,"Sep 2020",54,1,162,0.62%
2020-09,"Sep 2020",55,3,162,1.85%
2020-10,"Oct 2020",0,179,179,100.00%
2020-10,"Oct 2020",1,2,179,1.12%
2020-10,"Oct 2020",2,4,179,2.23%
2020-10,"Oct 2020",3,6,179,3.35%
2020-10,"Oct 2020",4,7,179,3.91%
2020-10,"Oct 2020",5,7,179,3.91%
2020-10,"Oct 2020",6,4,179,2.23%
2020-10,"Oct 2020",7,3,179,1.68%
2020-10,"Oct 2020",8,4,179,2.23%
2020-10,"Oct 2020",9,3,179,1.68%
2020-10,"Oct 2020",10,5,179,2.79%
2020-10,"Oct 2020",11,1,179,0.56%
2020-10,"Oct 2020",12,8,179,4.47%
2020-10,"Oct 2020",13,5,179,2.79%
2020-10,"Oct 2020",14,7,179,3.91%
2020-10,"Oct 2020",15,4,179,2.23%
2020-10,"Oct 2020",16,6,179,3.35%
2020-10,"Oct 2020",17,4,179,2.23%
2020-10,"Oct 2020",18,5,179,2.79%
2020-10,"Oct 2020",19,2,179,1.12%
2020-10,"Oct 2020",20,8,179,4.47%
2020-10,"Oct 2020",21,1,179,0.56%
2020-10,"Oct 2020",22,3,179,1.68%
2020-10,"Oct 2020",23,2,179,1.12%
2020-10,"Oct 2020",24,5,179,2.79%
2020-10,"Oct 2020",25,3,179,1.68%
2020-10,"Oct 2020",26,7,179,3.91%
2020-10,"Oct 2020",27,10,179,5.59%
2020-10,"Oct 2020",28,2,179,1.12%
2020-10,"Oct 2020",29,7,179,3.91%
2020-10,"Oct 2020",30,2,179,1.12%
2020-10,"Oct 2020",31,8,179,4.47%
2020-10,"Oct 2020",32,4,179,2.23%
2020-10,"Oct 2020",33,2,179,1.12%
2020-10,"Oct 2020",34,2,179,1.12%
2020-10,"Oct 2020",35,1,179,0.56%
2020-10,"Oct 2020",36,7,179,3.91%
2020-10,"Oct 2020",37,3,179,1.68%
2020-10,"Oct 2020",38,3,179,1.68%
2020-10,"Oct 2020",39,4,179,2.23%
2020-10,"Oct 2020",40,5,179,2.79%
2020-10,"Oct 2020",41,3,179,1.68%
2020-10,"Oct 2020",42,6,179,3.35%
2020-10,"Oct 2020",43,3,179,1.68%
2020-10,"Oct 2020",44,7,179,3.91%
2020-10,"Oct 2020",45,4,179,2.23%
2020-10,"Oct 2020",46,1,179,0.56%
2020-10,"Oct 2020",47,1,179,0.56%
2020-10,"Oct 2020",48,1,179,0.56%
